Date;Close;RSI;TNRSI;BB PERCENT;ROC-14;SO;CCI;PPO;OP1;OP2;OP3;OP4;OP5;OP6_RSI_3070;OP7_RSI_4555;OP8_RSI_3565
5.09.2000;52,299175;;;;;;;;;;;;;;;
6.09.2000;52,518002;;;;;;;;;;;;;;;
7.09.2000;51,916233;;;;;;;;;;;;;;;
8.09.2000;53,065063;;;;;;;;;;;;;;;
11.09.2000;54,104481;;;;;;;;;;;;;;;
12.09.2000;53,721539;;;;;;;;;;;;;;;
13.09.2000;53,666832;;;;;;;;;;;;;;;
14.09.2000;53,229179;;;;;;;;;;;;;;;
15.09.2000;51,916233;;;;;;;;;;;;;;;
18.09.2000;50,767399;;;;;;;;;;;;;;;
19.09.2000;52,353882;;;;;;;;;;;;;;;
20.09.2000;50,767399;;;;;;;;;;;;;;;
21.09.2000;50,986225;;;;;;;;;;;;;;;
22.09.2000;51,423874;;;;;;;;;;;;;;;
25.09.2000;52,518002;50,97088201;;;0,418413866;52,46;;;;;0;;0;0;0;0
26.09.2000;52,135056;48,32535015;;;-0,729170923;40,98;;;;;0;;0;0;0;0
27.09.2000;51,423874;47,86728819;;;-0,948371967;19,67;;;;;0;;1;0;0;0
28.09.2000;53,338593;51,11110515;;;0,515461557;77,05;;;;;0;;0;0;0;0
29.09.2000;53,174477;45,93302695;;;-1,718903837;72,13;;;;;0;;0;0;0;0
2.10.2000;55,143902;55,46218281;;107,4651836;2,647658698;148,15;210,98;;;;0;2;2;0;2;0
3.10.2000;53,830952;50,57471667;;76,57245653;0,305812722;70;85,09;;;;0;0;0;0;0;0
4.10.2000;53,283886;50,19011655;;64,13494541;0,102776336;57,5;41,57;;;;0;0;0;0;0;0
5.10.2000;53,393299;55,60164348;;64,89376408;2,845094712;60;44,04;;;;0;0;0;0;2;0
6.10.2000;50,712692;49,81412399;;13,58326627;-0,1077601;-1,25;-119,78;;;;0;1;1;0;0;0
9.10.2000;49,563862;40,22988667;;-0,033348008;-5,329155916;-25,93;-174,95;;;;0;1;1;0;1;0
10.10.2000;48,579151;42,00001053;;-5,331533985;-4,310340973;-17,65;-203,87;-1,2;;;0;1;1;0;1;0
11.10.2000;47,594437;38,2575789;;-7,197042677;-6,652361496;-15;-220,19;-1,74;;;1;1;1;0;1;0
12.10.2000;45,406189;31,41893238;;-15,52050457;-11,70212303;-28,99;-276,42;-2,5;;;1;1;1;0;1;1
13.10.2000;47,211494;34,30420264;;10,1115708;-10,10416961;18,54;-150,18;-2,8;;;1;1;1;0;1;1
16.10.2000;48,797974;40,78549502;;27,83059279;-6,400840924;34,83;-76,96;-2,74;;;0;0;0;0;1;0
17.10.2000;47,047375;38,5714285;;14,88683197;-8,510636519;16,85;-122,32;-2,95;;;1;1;1;0;1;0
18.10.2000;47,485023;33,43652264;;21,70235044;-10,97436147;21,35;-92,7;-3,02;;;1;0;0;0;1;1
19.10.2000;49,071507;39,25501035;;37,17276927;-7,716051443;37,64;-40,21;-2,78;;;1;0;0;0;1;0
20.10.2000;49,071507;32,26836566;48,36;38,2883197;-11,01190663;37,64;-36,33;-2,56;0;0;1;0;0;0;1;1
23.10.2000;47,594437;31,96201809;49,53;27,36932327;-11,58537007;25,97;-70,12;-2,59;0;0;1;0;0;0;1;1
24.10.2000;50,001511;41,42856941;58,03;49,87161799;-6,160164444;57,53;-2,28;-2,2;2;2;0;0;0;0;1;0
25.10.2000;50,220337;41,76136322;58,08;52,41461723;-5,942622126;60,27;5,4;-1,84;2;2;0;0;0;0;1;0
26.10.2000;47,649143;42,00000073;57,69;31,06156179;-6,040990685;42,27;-63,27;-1,95;2;2;0;0;0;0;1;0
27.10.2000;48,85268;48,14814583;62,56;44,05636991;-1,434880115;71,59;-21,67;-1,82;2;2;0;0;0;0;0;0
30.10.2000;51,150345;56,2666672;66,83;71,03598177;5,292793198;119,32;70,47;-1,32;2;2;0;0;2;0;2;0
31.10.2000;52,518002;61,78011098;68,49;89,12571425;10,34483295;123,81;140,31;-0,7;2;2;2;2;2;0;2;0
1.11.2000;51,095638;64,13043019;64,93;75,55483381;12,53011787;80;86,33;-0,43;2;2;2;0;0;0;2;0
2.11.2000;50,439163;58,50143968;55,48;71,55115244;6,836616948;62;69,65;-0,32;2;2;0;0;0;0;2;0
3.11.2000;52,189762;58,85714208;52,72;93,3933609;6,950673813;94;152,66;0,04;0;0;0;2;2;0;2;0
